Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,,,,,,,,,,,,,
TFL.GOV.UK/CP TFL TRAVEL,5/8/15,5.50,Debit,56391476,"1,494.50",,,,,,,,,,,,,,,,,,,
Ocado,5/10/15,126.93,Debit,56391485,"1,367.57",,,,,,,,,,,,,,,,,,,
Strenght power speed,5/15/15,10.00,Debit,56391494,"1,357.57",,,,,,,,,,,,,,,,,,,
Ocado,5/17/15,135.34,Debit,56391503,"1,222.23",,,,,,,,,,,,,,,,,,,
e.ON,5/22/15,98.21,Debit,56391512,"1,124.02",,,,,,,,,,,,,,,,,,,
Ocado,5/24/15,112.38,Debit,56391521,"1,011.64",,,,,,,,,,,,,,,,,,,
ZPG,5/29/15,"3,564.00",Credit,56391530,"4,575.64",,,,,,,,,,,,,,,,,,,
Capital One,5/30/15,"1,253.77",Debit,56391539,"3,321.87",,,,,,,,,,,,,,,,,,,
Cash,5/30/15,120.00,Debit,56391548,"3,201.87",,,,,,,,,,,,,,,,,,,
Halifax,5/31/15,32.11,Debit,56391557,"3,169.76",,,,,,,,,,,,,,,,,,,
Ocado,5/31/15,119.72,Debit,56391566,"3,050.04",,,,,,,,,,,,,,,,,,,
Rent,6/1/15,850.00,Debit,56391575,"2,200.04",,,,,,,,,,,,,,,,,,,
THAMES WATER,6/1/15,26.66,Debit,56391584,"2,173.38",,,,,,,,,,,,,,,,,,,
Savings,6/2/15,200.00,Debit,56391593,"1,973.38",,,,,,,,,,,,,,,,,,,
TFL.GOV.UK/CP TFL TRAVEL,6/2/15,5.50,Debit,56391602,"1,967.88",,,,,,,,,,,,,,,,,,,
Sky,6/3/15,42.00,Debit,56391611,"1,925.88",,,,,,,,,,,,,,,,,,,
Lambeth June,6/3/15,87.33,Debit,56391620,"1,838.55",,,,,,,,,,,,,,,,,,,
Vodaphone,6/4/15,37.50,Debit,56391629,"1,801.05",,,,,,,,,,,,,,,,,,,
Fitness First,6/4/15,55.00,Debit,56391638,"1,746.05",,,,,,,,,,,,,,,,,,,
Physio,6/4/15,80.00,Debit,56391647,"1,666.05",,,,,,,,,,,,,,,,,,,
Strenght power speed,6/6/15,10.00,Debit,56391656,"1,656.05",,,,,,,,,,,,,,,,,,,
Ocado,6/7/15,131.09,Debit,56391665,"1,524.96",,,,,,,,,,,,,,,,,,,
Thomas cook,6/13/15,689.00,Debit,56391674,835.96,,,,,,,,,,,,,,,,,,,
Transfer,6/20/15,60.60,Debit,56391683,775.36,,,,,,,,,,,,,,,,,,,
Ocado,6/21/15,183.00,Debit,56391692,592.36,,,,,,,,,,,,,,,,,,,
e.ON,6/22/15,98.21,Debit,56391701,494.15,,,,,,,,,,,,,,,,,,,
ZPG,6/26/15,"3,564.00",Credit,56391710,"4,058.15",,,,,,,,,,,,,,,,,,,
Capital One,6/27/15,"1,433.79",Debit,56391719,"2,624.36",,,,,,,,,,,,,,,,,,,
Ocado,6/28/15,112.78,Debit,56391728,"2,511.58",,,,,,,,,,,,,,,,,,,
Halifax,6/28/15,63.11,Debit,56391737,"2,448.47",,,,,,,,,,,,,,,,,,,
Rent,7/1/15,850.00,Debit,56391746,"1,598.47",,,,,,,,,,,,,,,,,,,
