Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,
"2525 27APR12 , THETRAINLINE.CO , RAIL SEASON A GB - POS",4/30/12,-148.4,Debit,123456,8148.4,,,,,,,
"2525 29APR12 , PLANET ORGANIC , LONDON GB - POS",4/30/12,5.78,Debit,123457,8142.62,,,,,,,
"2525 28APR12 , DIDSBURY PICCOLINO, 022 , M'CHESTER M20 GB - POS",4/30/12,61,Debit,123458,8081.62,,,,,,,
"2525 29APR12 , WH SMITH , STOCKPORT GB - POS",4/30/12,5.99,Debit,123459,8075.63,,,,,,,
"2525 27APR12 , ABOKADO , LONDON GB - POS",4/30/12,7.58,Debit,123460,8068.05,,,,,,,
"2525 28APR12 , THE WIZARD , MACCLESFIELD GB - POS",4/30/12,15,Debit,123461,8053.05,,,,,,,
10APR A/C 24947318 - INT,5/1/12,3.72,Debit,123462,8049.33,,,,,,,
"2525 30APR12 C , WAITROSE 753 , ST.KATHARINE GB - POS",5/1/12,4.15,Debit,123463,8045.18,,,,,,,
"2525 01MAY12 , EVANS CYCLES , LONDON SE1 GB - POS",5/2/12,71.59,Debit,123464,7973.59,,,,,,,
"2525 01MAY12 C , WAITROSE 753 , ST.KATHARINE GB - POS",5/2/12,7,Debit,123465,7966.59,,,,,,,
"RICHARD MYATT , FP 02/05/12 30 , 33023407294510000N - S/O",5/2/12,250,Debit,123466,7716.59,,,,,,,
"2525 01MAY12 , WWW.EVANSCY , CLES.COM WE , CRAWLEY GB - POS",5/2/12,106.98,Debit,123467,7609.61,,,,,,,
"2525 02MAY12 C , BURRO BURRITO , LONDON EC3N GB - POS",5/3/12,5.95,Debit,123468,7603.66,,,,,,,
"2525 02MAY12 , TESCO STORES 5122 , CLAPHAM GB - POS",5/3/12,10.67,Debit,123469,7592.99,,,,,,,
"2525 02MAY12 , APPLE RETAIL-DOM , LONDON GB - POS",5/3/12,50,Debit,123470,7542.99,,,,,,,
"2525 03MAY12 C , WAITROSE 753 , ST.KATHARINE GB - POS",5/4/12,3.89,Debit,123471,7539.1,,,,,,,
"2525 03MAY12 , TIMPSON LTD , LONDON GB - POS",5/4/12,10,Debit,123472,7529.1,,,,,,,
"2525 03MAY12 , AMAZON DIGITAL , DWNLDS , 866-321-8851 LU - POS",5/4/12,9.89,Debit,123473,7519.21,,,,,,,
"2525 03MAY12 , TORTILLA , LONDON GB - POS",5/4/12,5.45,Debit,123474,7513.76,,,,,,,
"2525 03MAY12 , TRAVELEX UK LTD , PETERBOROUGH GB , CASH ADVANCE , CHARGE 2.75 - POS",5/4/12,186.39,Debit,123475,7327.37,,,,,,,
"2525 04MAY12 , GOOGLE *PETR , NALEVKA , GOOGLE.COM/CH GB - POS",5/8/12,0.89,Debit,123476,7326.48,,,,,,,
"2525 03MAY12 , MAPLIN , GTPORTLANDST W1 , LONDON GB - POS",5/8/12,2.79,Debit,123477,7323.69,,,,,,,
"2525 04MAY12 , TRAVELEX GAT NTH , CRAWLEY GB , CASH ADVANCE , CHARGE 2.00 - POS",5/8/12,85.47,Debit,123478,7238.22,,,,,,,
"2525 04MAY12 , GOOGLE *ENDOMONDO , GOOGLE.COM/CH GB - POS",5/8/12,2.64,Debit,123479,7235.58,,,,,,,
"2525 04MAY12 , TRAVEL MONEY SER , 01733 457570 GB , REFUND - POS",5/8/12,4.19,Debit,123480,7231.39,,,,,,,
"2525 04MAY12 , GOOGLE *PETR , NALEVKA , GOOGLE.COM/CH GB - POS",5/8/12,1.49,Debit,123481,7229.9,,,,,,,
"2525 04MAY12 , LONDON &amp; SOUTH EAS, LONDON SE1 GB - POS",5/8/12,18,Debit,123482,7211.9,,,,,,,
"2525 04MAY12 , EAT , GATWICK NORTH GB - POS",5/8/12,8.75,Debit,123483,7203.15,,,,,,,
"HOUSE ACCOUNT , FP 08/05/12 30 , 14023726538466000N - S/O",5/8/12,720,Debit,123484,6483.15,,,,,,,
"2525 04MAY12 , FLYING HORSE , GATWICK AIRPO GB - POS",5/8/12,4.9,Debit,123485,6478.25,,,,,,,
"2525 04MAY12 , GOOGLE *SKYHEALTH , LLC , GOOGLE.COM/CH GB - POS",5/8/12,0.64,Debit,123486,6477.61,,,,,,,
"CALL REF.NO. 0681 , KEVIN BADGER , FP 10/05/12 10 , 58114552261823000N - OTR",5/10/12,40,Debit,123487,6437.61,,,,,,,
"CALL REF.NO. 0681 , FROM A/C 24947318 - OTR",5/10/12,200,Credit,123488,6637.61,,,,,,,
"0724 09MAY12 , WELLINGTON , WATERLOO GB - POS",5/10/12,8.15,Debit,123489,6629.46,,,,,,,
"0724 09MAY12 , JACK'S LOUNGE , LONDON GB - POS",5/10/12,20,Debit,123490,6609.46,,,,,,,
"CALL REF.NO. 0681 , TO A/C 24885126 - OTR",5/10/12,200,Debit,123491,6409.46,,,,,,,
SANTANDER 12MAY - ATM,5/14/12,30,Debit,123492,6379.46,,,,,,,
"2525 13MAY12 , SPECIAL EVENTS , LEICESTER GB - POS",5/14/12,6.5,Debit,123493,6372.96,,,,,,,
"2525 13MAY12 , SPECIAL EVENTS , LEICESTER GB - POS",5/14/12,6.5,Debit,123494,6366.46,,,,,,,
"2525 13MAY12 , SAINSBURYS S/MKTS , CLAPHAM JUNCT GB - POS",5/14/12,12.65,Debit,123495,6353.81,,,,,,,
"2525 13MAY12 , SAINSBURYS S/MKTS , CLAPHAM JUNCT GB - POS",5/14/12,6.94,Debit,123496,6346.87,,,,,,,
"2525 12MAY12 , T K MAXX , KETTERING GB - POS",5/14/12,12.99,Debit,123497,6333.88,,,,,,,
"2525 14MAY12 , TESCO STORES SACAT, CLAPHAM GB - POS",5/15/12,8.57,Debit,123498,6325.31,,,,,,,
"JONES L , SONAR , FP 14/05/12 2229 , 259778649222415001 - BAC",5/15/12,106.92,Credit,123499,6432.23,,,,,,,
"2525 14MAY12 C , WAITROSE 753 , ST.KATHARINE GB - POS",5/15/12,4.92,Debit,123500,6427.31,,,,,,,
"2525 15MAY12 , SADLERS WELLS , LONDON GB - POS",5/16/12,77.75,Debit,123501,6349.56,,,,,,,
"2525 15MAY12 C , WAITROSE 753 , ST.KATHARINE GB - POS",5/16/12,3.89,Debit,123502,6345.67,,,,,,,
"2525 15MAY12 , GOOGLE *GUNIA UG , GOOGLE.COM/CH GB - POS",5/16/12,4.63,Debit,123503,6341.04,,,,,,,
"2525 15MAY12 , GOOGLE , *ROUTEMASTER , GOOGLE.COM/CH GB - POS",5/16/12,1.49,Debit,123504,6339.55,,,,,,,
"2525 14MAY12 , LASTMINUTE.COM , LONDON GB - POS",5/16/12,320.78,Debit,123505,6018.77,,,,,,,
"2525 16MAY12 , GOOGLE *JFDP LABS , LTD , GOOGLE.COM/CH GB - POS",5/17/12,1.19,Debit,123506,6017.58,,,,,,,
BARCLAYCARD VISA - D/D,5/18/12,53.18,Debit,123507,5964.4,,,,,,,
LLOYDS BANK 19MAY - ATM,5/21/12,30,Debit,123508,5934.4,,,,,,,
ORANGE - D/D,5/21/12,36.44,Debit,123509,5897.96,,,,,,,
"FOREMAN S L , FLIGHTS &amp; LAWN , FP 24/05/12 2240 , 559704050422425001 - BAC",5/25/12,120,Credit,123510,6017.96,,,,,,,
"RUSHU DAS , QUEENS PARK BILLS , FP 28/05/12 0625 , 00151070632BBBMZFF - BAC",5/28/12,131.79,Credit,123511,6149.75,,,,,,,
"2525 26MAY12 , YOURS SUPERMARKET , LONDON GB - POS",5/28/12,5.16,Debit,123512,6144.59,,,,,,,
"2525 28MAY12 , TESCO STORES SACAT, CLAPHAM GB - POS",5/29/12,14.57,Debit,123513,6130.02,,,,,,,
"2525 28MAY12 , THE ABBEVILLE , LONDON SW4 GB - POS",5/29/12,7.9,Debit,123514,6122.12,,,,,,,
S THREE MGMT. SERV - BAC,5/30/12,2288.09,Credit,123515,8410.21,,,,,,,
"BUSCOMBE I P , BARCELONA GOODIES , FP 30/05/12 1302 , 164788137221035001 - BAC",5/30/12,107,Credit,123516,8517.21,,,,,,,
"2525 29MAY12 , TOUCH RUGBY INTL , INTERNET GB - POS",5/30/12,100,Debit,123517,8417.21,,,,,,,
"2525 30MAY12 , GROUPON , LONDON GB - POS",5/31/12,19,Debit,123518,8398.21,,,,,,,
10MAY A/C 24947318 - INT,5/31/12,4.65,Debit,123519,8393.56,,,,,,,
